"emoji","codepoints","name","img_url","detail_url","kind","description","image_path"
"🤐","U+1F910","[闭嘴]","https://www.emojiall.com/images/60/douyin/1f910.png","https://www.emojiall.com/en/emoji/%F0%9F%A4%90","mapped","zipper-mouth face","E:\OneDrive - The Chinese University of Hong Kong\College\Course Content\y3\AIST4010\project\emoji-finegrained-emotion\data\emoji_images\douyin\1f910png.png"
"👎","U+1F44E","[弱]","https://www.emojiall.com/images/60/douyin/1f44e.png","https://www.emojiall.com/en/emoji/%F0%9F%91%8E","mapped","thumbs down","E:\OneDrive - The Chinese University of Hong Kong\College\Course Content\y3\AIST4010\project\emoji-finegrained-emotion\data\emoji_images\douyin\1f44epng.png"
"👈","U+1F448","[左边]","https://www.emojiall.com/images/60/douyin/1f448.png","https://www.emojiall.com/en/emoji/%F0%9F%91%88","mapped","backhand index pointing left","E:\OneDrive - The Chinese University of Hong Kong\College\Course Content\y3\AIST4010\project\emoji-finegrained-emotion\data\emoji_images\douyin\1f448png.png"
"👉","U+1F449","[右边]","https://www.emojiall.com/images/60/douyin/1f449.png","https://www.emojiall.com/en/emoji/%F0%9F%91%89","mapped","backhand index pointing right","E:\OneDrive - The Chinese University of Hong Kong\College\Course Content\y3\AIST4010\project\emoji-finegrained-emotion\data\emoji_images\douyin\1f449png.png"
"🥰","U+1F970","[送心]","https://www.emojiall.com/images/60/douyin/1f970.png","https://www.emojiall.com/en/emoji/%F0%9F%A5%B0","mapped","smiling face with hearts","E:\OneDrive - The Chinese University of Hong Kong\College\Course Content\y3\AIST4010\project\emoji-finegrained-emotion\data\emoji_images\douyin\1f970png.png"
"✌","U+270C","[耶]","https://www.emojiall.com/images/60/douyin/270c-new.png","https://www.emojiall.com/en/emoji/%E2%9C%8C","mapped","victory hand","E:\OneDrive - The Chinese University of Hong Kong\College\Course Content\y3\AIST4010\project\emoji-finegrained-emotion\data\emoji_images\douyin\270c-newpng.png"
"🤦","U+1F926","[捂脸]","https://www.emojiall.com/images/60/douyin/1f926.png","https://www.emojiall.com/en/emoji/%F0%9F%A4%A6","mapped","person facepalming","E:\OneDrive - The Chinese University of Hong Kong\College\Course Content\y3\AIST4010\project\emoji-finegrained-emotion\data\emoji_images\douyin\1f926png.png"
"😍","U+1F60D","[色]","https://www.emojiall.com/images/60/douyin/1f60d.png","https://www.emojiall.com/en/emoji/%F0%9F%98%8D","mapped","smiling face with heart-eyes","E:\OneDrive - The Chinese University of Hong Kong\College\Course Content\y3\AIST4010\project\emoji-finegrained-emotion\data\emoji_images\douyin\1f60dpng.png"
"🤕","U+1F915","[打脸]","https://www.emojiall.com/images/60/douyin/1f915.png","https://www.emojiall.com/en/emoji/%F0%9F%A4%95","mapped","face with head-bandage","E:\OneDrive - The Chinese University of Hong Kong\College\Course Content\y3\AIST4010\project\emoji-finegrained-emotion\data\emoji_images\douyin\1f915-newpng.png"
"😄","U+1F604","[大笑]","https://www.emojiall.com/images/60/douyin/1f604.png","https://www.emojiall.com/en/emoji/%F0%9F%98%84","mapped","grinning face with smiling eyes","E:\OneDrive - The Chinese University of Hong Kong\College\Course Content\y3\AIST4010\project\emoji-finegrained-emotion\data\emoji_images\douyin\1f604-newpng.png"
"🥱","U+1F971","[哈欠]","https://www.emojiall.com/images/60/douyin/1f971.png","https://www.emojiall.com/en/emoji/%F0%9F%A5%B1","mapped","yawning face","E:\OneDrive - The Chinese University of Hong Kong\College\Course Content\y3\AIST4010\project\emoji-finegrained-emotion\data\emoji_images\douyin\1f971png.png"
"🤯","U+1F92F","[震惊]","https://www.emojiall.com/images/60/douyin/1f92f.png","https://www.emojiall.com/en/emoji/%F0%9F%A4%AF","mapped","exploding head","E:\OneDrive - The Chinese University of Hong Kong\College\Course Content\y3\AIST4010\project\emoji-finegrained-emotion\data\emoji_images\douyin\1f92fpng.png"
"🦷","U+1F9B7","[大金牙]","https://www.emojiall.com/images/60/douyin/1f9b7.png","https://www.emojiall.com/en/emoji/%F0%9F%A6%B7","mapped","tooth","E:\OneDrive - The Chinese University of Hong Kong\College\Course Content\y3\AIST4010\project\emoji-finegrained-emotion\data\emoji_images\douyin\1f9b7png.png"
"🤭","U+1F92D","[偷笑]","https://www.emojiall.com/images/60/douyin/1f92d.png","https://www.emojiall.com/en/emoji/%F0%9F%A4%AD","mapped","face with hand over mouth","E:\OneDrive - The Chinese University of Hong Kong\College\Course Content\y3\AIST4010\project\emoji-finegrained-emotion\data\emoji_images\douyin\1f92dpng.png"
"😰","U+1F630","[石化]","https://www.emojiall.com/images/60/douyin/1f630.png","https://www.emojiall.com/en/emoji/%F0%9F%98%B0","mapped","anxious face with sweat","E:\OneDrive - The Chinese University of Hong Kong\College\Course Content\y3\AIST4010\project\emoji-finegrained-emotion\data\emoji_images\douyin\1f630png.png"
"🤔","U+1F914","[思考]","https://www.emojiall.com/images/60/douyin/1f914.png","https://www.emojiall.com/en/emoji/%F0%9F%A4%94","mapped","thinking face","E:\OneDrive - The Chinese University of Hong Kong\College\Course Content\y3\AIST4010\project\emoji-finegrained-emotion\data\emoji_images\douyin\1f914png.png"
"🥺","U+1F97A","[可怜]","https://www.emojiall.com/images/60/douyin/1f97a.png","https://www.emojiall.com/en/emoji/%F0%9F%A5%BA","mapped","pleading face","E:\OneDrive - The Chinese University of Hong Kong\College\Course Content\y3\AIST4010\project\emoji-finegrained-emotion\data\emoji_images\douyin\1f97apng.png"
"🤫","U+1F92B","[嘘]","https://www.emojiall.com/images/60/douyin/1f92b.png","https://www.emojiall.com/en/emoji/%F0%9F%A4%AB","mapped","shushing face","E:\OneDrive - The Chinese University of Hong Kong\College\Course Content\y3\AIST4010\project\emoji-finegrained-emotion\data\emoji_images\douyin\1f92bpng.png"
"😕","U+1F615","[撇嘴]","https://www.emojiall.com/images/60/douyin/1f615.png","https://www.emojiall.com/en/emoji/%F0%9F%98%95","mapped","confused face","E:\OneDrive - The Chinese University of Hong Kong\College\Course Content\y3\AIST4010\project\emoji-finegrained-emotion\data\emoji_images\douyin\1f615png.png"
"😅","U+1F605","[尴尬]","https://www.emojiall.com/images/60/douyin/1f605.png","https://www.emojiall.com/en/emoji/%F0%9F%98%85","mapped","grinning face with sweat","E:\OneDrive - The Chinese University of Hong Kong\College\Course Content\y3\AIST4010\project\emoji-finegrained-emotion\data\emoji_images\douyin\1f605-newpng.png"
"😂","U+1F602","[笑哭]","https://www.emojiall.com/images/60/douyin/1f602.png","https://www.emojiall.com/en/emoji/%F0%9F%98%82","mapped","face with tears of joy","E:\OneDrive - The Chinese University of Hong Kong\College\Course Content\y3\AIST4010\project\emoji-finegrained-emotion\data\emoji_images\douyin\1f602png.png"
