emoji,codepoints,name,img_url,detail_url,kind
❤红心,U+2764 U+7EA2 U+5FC3,[爱心],https://www.emojiall.com/images/60/bilibili/2764.png,https://www.emojiall.com/zh-hans/emoji/%E2%9D%A4,mapped
✌胜利手势,U+270C U+80DC U+5229 U+624B U+52BF,[胜利],https://www.emojiall.com/images/60/bilibili/270c.png,https://www.emojiall.com/zh-hans/emoji/%E2%9C%8C,mapped
💪肌肉,U+1F4AA U+808C U+8089,[加油],https://www.emojiall.com/images/60/bilibili/1f4aa.png,https://www.emojiall.com/zh-hans/emoji/%F0%9F%92%AA,mapped
🙏双手合十,U+1F64F U+53CC U+624B U+5408 U+5341,[保佑],https://www.emojiall.com/images/60/bilibili/1f64f.png,https://www.emojiall.com/zh-hans/emoji/%F0%9F%99%8F,mapped
👍拇指向上,U+1F44D U+62C7 U+6307 U+5411 U+4E0A,[支持],https://www.emojiall.com/images/60/bilibili/1f44d.png,https://www.emojiall.com/zh-hans/emoji/%F0%9F%91%8D,mapped
🫂人的拥抱,U+1FAC2 U+4EBA U+7684 U+62E5 U+62B1,[拥抱],https://www.emojiall.com/images/60/bilibili/1fac2.png,https://www.emojiall.com/zh-hans/emoji/%F0%9F%AB%82,mapped
🤷‍♀️女生耸肩,U+1F937 U+200D U+2640 U+FE0F U+5973 U+751F U+8038 U+80A9,[怪我咯],https://www.emojiall.com/images/60/bilibili/1f937-200d-2640-fe0f.png,https://www.emojiall.com/zh-hans/emoji/%F0%9F%A4%B7%E2%80%8D%E2%99%80%EF%B8%8F,mapped
🧎下跪者,U+1F9CE U+4E0B U+8DEA U+8005,[跪了],https://www.emojiall.com/images/60/bilibili/1f9ce.png,https://www.emojiall.com/zh-hans/emoji/%F0%9F%A7%8E,mapped
🐹仓鼠,U+1F439 U+4ED3 U+9F20,[老鼠],https://www.emojiall.com/images/60/bilibili/1f439.png,https://www.emojiall.com/zh-hans/emoji/%F0%9F%90%B9,mapped
,,[微笑],https://www.emojiall.com/images/60/bilibili/default001.png,,vendor_only
,,[哦呼],https://www.emojiall.com/images/60/bilibili/default005.png,,vendor_only
,,[疑惑],https://www.emojiall.com/images/60/bilibili/default012.png,,vendor_only
,,[辣眼睛],https://www.emojiall.com/images/60/bilibili/default013.png,,vendor_only
,,[奸笑],https://www.emojiall.com/images/60/bilibili/default016.png,,vendor_only
,,[阴险],https://www.emojiall.com/images/60/bilibili/default020.png,,vendor_only
,,[囧],https://www.emojiall.com/images/60/bilibili/default022.png,,vendor_only
,,[抠鼻],https://www.emojiall.com/images/60/bilibili/default024.png,,vendor_only
,,[笑哭],https://www.emojiall.com/images/60/bilibili/default027.png,,vendor_only
,,[妙啊],https://www.emojiall.com/images/60/bilibili/default028.png,,vendor_only
,,[滑稽],https://www.emojiall.com/images/60/bilibili/default030.png,,vendor_only
,,[点赞],https://www.emojiall.com/images/60/bilibili/default033.png,,vendor_only
,,[尴尬],https://www.emojiall.com/images/60/bilibili/default036.png,,vendor_only
,,[傲娇],https://www.emojiall.com/images/60/bilibili/default040.png,,vendor_only
,,[疼],https://www.emojiall.com/images/60/bilibili/default041.png,,vendor_only
,,[奋斗],https://www.emojiall.com/images/60/bilibili/default051.png,,vendor_only
,,[锦鲤],https://www.emojiall.com/images/60/bilibili/default064.png,,vendor_only
,,[抱拳],https://www.emojiall.com/images/60/bilibili/default068.png,,vendor_only
,,[响指],https://www.emojiall.com/images/60/bilibili/default069.png,,vendor_only
,,[黑洞],https://www.emojiall.com/images/60/bilibili/default074.png,,vendor_only
,,[2020],https://www.emojiall.com/images/60/bilibili/default076.png,,vendor_only
,,[福到了],https://www.emojiall.com/images/60/bilibili/default077.png,,vendor_only
,,[高兴],https://www.emojiall.com/images/60/bilibili/default078.png,,vendor_only
,,[气愤],https://www.emojiall.com/images/60/bilibili/default079.png,,vendor_only
,,[耍帅],https://www.emojiall.com/images/60/bilibili/default080.png,,vendor_only
